rank,title,artist,release,summary,metascore,userscore
10876,Initiation,Haunted Hearts,"May 27, 2014",The debut full-length release for the collaboration between husband-and-wife duo of Dee Dee of Dum Dum Girls and Brandon of Crocodiles was mixed by Jorge Elbrecht.,65,tbd
10877,Delta Machine,Depeche Mode,"March 26, 2013",The 13th studio release for the synth-pop trio was produced by Ben Hillier and mixed by Flood.,65,7.8
10878,You Can Do Better,Johnny Foreigner,"March 10, 2014",The fourth full-length release for the British indie rock band is its first with second guitarist Lewes Herriot.,65,tbd
10879,Machines That Make Civilization Fun,Bigg Jus,"June 5, 2012",The first album of new material from the rapper in seven years tackles political issues.,65,tbd
10880,You & I,The Pierces,"November 30, 2010",The fourth album for the folk rock duo of sisters was produced by Guy Berryman of Coldplay and Rik Simpson.,65,7.0
10881,Joy,Phish,"September 8, 2009",The jam rock band's latest release was produced by Steve Lillywhite.,65,8.2
10882,Music's Not for Everyone,Chain & the Gang,"February 22, 2011",This is the second full-length album for the rock band led by an Ian Svenonius.,65,tbd
10883,Now Is The Time!,Polysics,"February 21, 2006","This is the fourth quirky release for the exclamation-point-loving, Devo-esque, Tokyo-based band.",65,tbd
10884,Back From The Dead,Spinal Tap,"June 16, 2009",The 2-disc set is the rock band's third actual album.,65,tbd
10885,Xoxo Panda & The New Kid Revival,Her Space Holiday,"October 7, 2008",Marc Bianchi releases his latest album under the Her Space Holiday name.,65,tbd
10886,Touching Down,Roni Size,"November 5, 2002","Breaking away from the Reprazent collective he headed, Bristol, England junglist Roni Size returns with his first true solo album, with no collaborators (or vocalists, for that matter) in sight on these 16 drum'n'bass tracks.",65,tbd
10887,Revolverlution,Public Enemy,"July 23, 2002","This 15th anniversary release for the rap veterans includes nine new tracks, supplemented by live recordings, remixes, and skits.",65,8.5
10888,G-Sides,Gorillaz,"February 26, 2002",This disc collects remixes and B-sides (album title notwithstanding) culled from the singles generated by the animated supergroup's international hit debut album. The 9 songs here (totalling just 38 minutes) include two previously unreleased tracks.,65,7.9
10889,Manic Expressive,Her Space Holiday,"November 6, 2001","This is Marc Bianchi's second LP as Her Space Holiday, which also includes his girlfriend, Keely.",65,tbd
10890,Everybody Wants To Know,Swell,"June 19, 2001","This is the sixth album (and third on Beggars Banquet) for San Francisco's Swell, which now is a one-man band consisting entirely of David Freel.",65,tbd
10891,Black Market Music,Placebo,"May 8, 2001","This is the third album from London glam-rockers Placebo. The U.S. release adds two bonus tracks: a new version of ""Without You I'm Nothing"" with David Bowie guesting on vocals, and a cover of Depeche Mode's ""I Feel You.""",65,8.8
10892,"Songs From An American Movie, Vol. 2: Good Time For A Bad Attitude",Everclear,"November 21, 2000",,65,8.7
10893,Chaosmosis,Primal Scream,"March 18, 2016","The 11th full-length release for the Scottish rock band features guest appearances from Haim, Sky Ferreira, and Rachel Zeffira.",65,7.3
10894,Devastator,Catfish Haven,"October 7, 2008",The second release for the Illinois indie-rock band led by George Hunter.,65,tbd
10895,Will The Guns Come Out,Hanni el Khatib,"September 26, 2011",The debut full-length album for the San Francisco-born artist features Her Space Holiday as a guest.,65,tbd
10896,Unplugged,Alicia Keys,"October 11, 2005","The singer's not-quite-acoustic MTV session includes two new songs and collaborations with Common, Mos Def, Damian Marley and Adam Levine.",65,8.8
10901,Light Asylum,Light Asylum,"May 1, 2012",This is the debut full-length electronic-based album for the Brooklyn duo of Shannon Funchess and producer Bruno Coviello.,65,tbd
10902,Dark Matter: Moving At The Speed Of Light,Afrika Bambaataa,"October 26, 2004",The legendary DJ and musician's first studio album in four years includes an appearance from Gary Numan.,65,tbd
10903,Passover,A Grave with No Name,"January 19, 2018",The sixth full-length release for Alexander Shields was produced and mixed by Misha Hering.,65,tbd
10904,Everybody,Logic,"May 5, 2017","The third full-length studio release for the Maryland rapper is a concept album with themes of race and religion with guest appearances from Black Thought, Big Lenbo, Alessia Cara, Chuck D, Neil deGrasse Tyson, Ansel Elgort, Damian Lemar Hudson, Juicy J, Khalid, Killer Mike, No I.D., and Lucy Rose.",65,6.6
10905,Where Have You Been All My Life?,Villagers,"January 8, 2016","Recorded live in one day, the fourth full-length release for the indie folk band led by Conor O'Brien re-records some tracks from its previous three albums with new stripped-down arrangements.",65,6.9
10906,Weatherhouse,Phil Selway,"October 7, 2014",The Radiohead drummer worked with Adem Ilhan and Quinta on his second full-length solo release.,65,6.7
10907,Ashes and Roses,Mary Chapin Carpenter,"June 12, 2012","The 12th studio release for the singer-songwriter chronicles the past five years, where she overcame challenging moments in her life including divorce, death in the family, and a serious illness.",65,tbd
10908,Unexpected Guests,DOOM,"November 3, 2009","The compilation contains live, bonus, and collaborations tracks from his 10-plus years of releasing music.",65,tbd
10909,Black Mountain,Black Mountain,"January 18, 2005","This is the debut LP for Stephen McBean's Black Mountain project, which shares members with Jerk With A Bomb and Pink Mountaintops.",65,8.0
10910,Secret Machines,Secret Machines,"October 14, 2008","The third album for the alternative-rock band is the first to include the band's new guitarist, Phil Karnats.",65,8.0
10911,The  Return of Mr. Zone 6,Gucci Mane,"March 22, 2011",The rapper's new album falls somewhere between an official release and a mixtape--his first album following a stint in prison.,65,7.2
10912,Amoral,Violens,"November 9, 2010","Hailing from New York, the experimental rockers release their debut album of electronic, shimmery shoe-gazer rock and dance tracks, comparable to the likes of Cut Copy and New Order.",65,tbd
10913,Empire,Kasabian,"September 19, 2006",'Empire' marks the second release for the English dance-rock band.,65,7.1
10914,Nina,Xiu Xiu,"December 3, 2013",The latest release for the Jamie Stewart project is a cover album of Nina Simone songs recorded in one day.,65,8.2
10915,Little Wild One,Joan Osborne,"September 9, 2008","The latest album from the singer/songwriter from Kentucky was produced by Eric Bazilian, Rick Chertoff, and Rob Hyman.",65,tbd
10916,Twelve,Patti Smith,"April 24, 2007","This all-covers album includes Smith's takes on songs by Tears For Fears, Stevie Wonder, Nirvana, Paul Simon and Bob Dylan.",65,8.6
10917,The  Deserters,Rachel Zeffira,"March 12, 2013",The self-produced debut solo release for the Cat's Eyes singer features a guest appearance from TOY.,65,tbd
10918,Morning World,Teen Daze,"August 14, 2015",The fifth full-length release for the solo project for Canadian artist Jamison was recorded and mixed with John Vanderslice.,65,tbd
10919,Boys,Crocodiles,"May 12, 2015",The fifth full-length release for the indie rock band was produced by Martin Thulin in Mexico City.,65,tbd
10920,Specter at the Feast,Black Rebel Motorcycle Club,"March 19, 2013","The sixth full-length studio release for the Los Angeles alternative rock trio was written in Santa Cruz and includes a cover of The Call's ""Let The Day Begin."" [Michael Been, the father of lead singer Robert, fronted The Call and passed away in 2010.]",65,8.0
10921,A Thousand Heys,Mazes,"April 12, 2011","Often compared to Pavement and the Buzzcocks, the London-based quartet release its first full-length debut of lo-fi rock.",65,tbd
10922,The Constant,Story Of The Year,"February 16, 2010",Elvis Baskette produces the fourth album for the St. Louis rock band that started out as Big Blue Monkey (an existing blues group by the same name resulted in a name change).,65,tbd
10923,The  Paradigm Shift,Korn,"October 8, 2013","The 11th studio release for the nu-metal band is the first with guitarist Brian ""Head"" Welch since 2003's Take A Look In The Mirror.",65,7.6
10924,Adam Ant Is the BlueBlack Hussar In Marrying The Gunner's Daughter,Adam Ant,"January 22, 2013",The first studio release in 17 years for the British pop singer was produced with Boz Boorer.,65,8.3
10925,Declaration Of Dependence,Kings of Convenience,"October 20, 2009","The third album for the Norwegian rock duo is its first since 2004's ""Riot On An Empty Street.""",65,8.4
10926,Santi,The Academy Is...,"April 3, 2007",This is the second LP for the Chicago emo band.,65,7.4
10927,Otto Spooky,Momus,"April 19, 2005",This is album number 19 for Scotland's resident oddball Nick Currie.,65,tbd
10928,Treble & Tremble,Earlimart,"September 28, 2004","This fourth LP for the Los Angeles indie rockers were produced by Jim Fairchild (Grandaddy) and the band's own Aaron Espinoza. The album is dedicated to (and frequently about) the late Elliott Smith, who was Espinoza's neighbor.",65,8.5
10929,Made in the A.M.,One Direction,"November 13, 2015","The fifth full-length studio release for the boy band is its first without Zayn Malik, who left the group in March 2015.",65,6.7
10930,All We Need,Raury,"October 16, 2015",The debut full-length release for the Atlanta-based artist features guest appearances from Big K.R.I.T. and Tom Morello.,65,7.7
10931,Wait For Me,Moby,"June 30, 2009","Influenced by a talk he heard by David Lynch, Moby recorded the album at home.",65,7.6
10932,Moondagger,Deastro,"June 2, 2009","This is the latest album for Randolph Chabot, who had a track on his label's ""Adult Swim"" album ""Ghostly Swim.""",65,8.3
10933,In A Perfect World...,Keri Hilson,"March 24, 2009","The long-delayed debut album for Keri Hilson features Timbaland, Lil Wayne, Keyshia Cole, Ne-Yo, T-Pain, Akon, Lil Jon, and Trina as guest artists.",65,6.7
10934,Liberation,Trans Am,"February 17, 2004","The Washington, D.C. band's seventh album finds the band in a more political mood, even sampling President Bush (the newer one) on one track.",65,tbd
10935,Delirium Cordia,Fantômas,"January 27, 2004","Mike Patton (Faith No More) returns for his third studio album (which consists of a single, 74-minute song!) with his more experimental outfit Fantomas.",65,8.6
10936,Sean-Nós Nua,Sinéad O'Connor,"October 8, 2002",The mercurial singer-songwriter returns with an album of interpretations of 13 traditional Irish songs.,65,8.0
10937,Celebrity,*NSYNC,"July 24, 2001",This is the third album for Justin Timberlake & co. But will it be the last?,65,8.4
10938,It's Like This,Rickie Lee Jones,"September 12, 2000","Much like her 1991 release 'Pop Pop,' this album showcases Jones' vocal talents as she reinterprets an eclectic variety of songs (by everyone from The Beatles and Marvin Gaye to Steely Dan and Gershwin) in her own unique style.",65,tbd
10939,Vavoom!,Brian Setzer Orchestra,"August 1, 2000",,65,tbd
10940,Just Us,Faust,"November 25, 2014","The 11th studio release from the German Krautrock band is said to be an invitation for fans to use the music as "" a base on which to build their own music.""",65,tbd
10941,Soul Punk,Patrick Stump,"October 18, 2011",The Fall Out Boy singer also wrote and produced this entire debut solo album.,65,8.5
10942,Let It Be You,Joan as Police Woman,"October 21, 2016",The debut full-length release for the collaboration between Joan As Policewoman & Benjamin Lazar Davis is loosely inspired by the musical patterns of the Central African Republic Pygmies.,65,tbd
10943,R.Y.C.,Mura Masa,"January 17, 2020","The second full-length release for the electronic producer features guest appearances from Clairo, Georgia, Ned Green, Ellie Rowsell, slowthai, Tirzah, and Wolf Alice.",65,6.6
10944,Duets: Re-Working the Catalogue,Van Morrison,"March 23, 2015","Produced with Don Was and Bob Rock, the album from the Hall of Fame artist features new arrangements of some of his less well known songs as duets with George Benson, Michael Bublé, Natalie Cole, Chris Farlowe, Georgie Fame, Mick Hucknall, Mark Knopfler, Taj Mahal, daughter Shania Morrison, Gregory Porter, P.J. Proby, Mavis Staples, Joss Stone, Clare Teal, Steve Winwood, and Bobby Womack.",65,tbd
10945,S-M 2: Abyss in B Minor,Serena-Maneesh,"March 23, 2010",The Norwegian band recorded some of this second full-length album in a cave.,65,7.8
10946,Yeah Right,Bleeding Rainbow,"January 29, 2013",The Philadelphia indie pop band Reading Rainbow returns with a new name and two new members: Greg Frantz and Al Creedon.,65,tbd
10947,Sleep Forever,The Big Sleep,"February 19, 2008",The sophomore album for the Brooklyn rock band is their first on Frenchkiss Records.,65,tbd
10948,The Beekeeper,Tori Amos,"February 22, 2005","The singer-songwriter returns with her first album of original material in three years, a conceptual work centering on the title character, with its 19 songs divided into six thematic ""gardens."" Damien Rice guests on one track.",65,8.3
10949,Await Barbarians,Alexis Taylor,"June 10, 2014",This is the second full-length solo release for the Hot Chip singer/guitarist.,65,tbd
10950,Sawdust,The Killers,"November 13, 2007",The collection of b-sides and remixes also features Lou Reed on one track.,65,7.9
10951,The Journey Man,Goldie,"June 16, 2017",The latest release for the British drum and bass artist features a guest appearance from José James.,65,tbd
10952,Mylo Xyloto,Coldplay,"October 24, 2011","The fifth full-length studio release for the alternative rock band is a concept album about the love story of Mylo Xyloto, set in an alien dystopia.",65,7.4
10953,Talk About Body,MEN,"February 1, 2011","After four years of being a Brooklyn-based band, the art/music collective formed by Le Tigre's J.D. Samson finally release their debut album of disco punk with a socio-political message.",65,tbd
10954,Spirit,Leona Lewis,"April 8, 2008","The season three ""The X Factor"" winner's first album debuted as the number one album in the UK.",65,8.3
10955,Mind Trap,Martin Creed,"February 3, 2014",The second release for Turner Prize-winning artist was co-produced with Andy Knowles and Nick McCarthy.,65,tbd
10956,Chocolate Factory,R. Kelly,"February 18, 2003","Beseiged by legal problems (he was arrested in Chicago on child pornography-related charges) and rampant bootlegging of an earlier effort ('Loveland') that forced him to abandon that project, Kelly finally returns with a follow-up to 2000's 'TP-2.Com.'",65,8.5
10957,Kicks,1990s,"March 24, 2009","The second album for the Scottish band was produced by Bernard Butler and is the first album with Dino Bardot, who replaced Jamie McMorrow.",65,8.8
10958,Digi Snacks,The RZA,"June 24, 2008",The third album for the Wu-Tang Clan member as Bobby Digital features Thea and George Harrison's son as guest artists.,65,8.6
10959,Bigfoot,Cayucas,"April 30, 2013","Produced by Richard Swift, the debut release for the indie pop band led by Zach Yudin was influenced by rock of the 1960s and 70s.",65,7.7
10960,Gallery [EP],Craft Spells,"May 22, 2012","This seven-track EP from the Northern California indie pop band led by Justin Vallesteros is a follow-up to its 2011 debut full-length, Idle Labor.",65,tbd
10961,Don't Act Like You Don't Care,Luke Temple,"August 16, 2011",Here We Go Magic's Luke Temple releases his third solo album.,65,tbd
10962,Sound City: Real to Reel,Original Soundtrack,"March 12, 2013","The songs on the soundtrack to Dave Grohl's documentary about Sound City Studios (Fleetwood Mac's Rumours, Rage Against The Machine's self-titled debut, Pat Benatar's Crimes of Passion, and Nirvana's Nevermind were recorded there), were composed and recorded with its own 24-hour session using the Neve 8028 recording console from the legendary Los Angeles studio with such artists as Josh Homme, Paul McCartney, Stevie Nicks, Cheap Trick's Rick Nielsen, Trent Reznor, Rick Springfield, Slipknot’s Corey Taylor, Fear's Lee Ving, members of the Foo Fighters, and surviving members of Nirvana.",65,8.1
10963,Freedom's Road,John Mellencamp,"January 23, 2007","The rocker's first album of originals in six years includes the Chevy Trucks themesong ""Our Country.""",65,7.1
10964,Kiss & Tell,Sahara Hotnights,"July 27, 2004","The all-female Scandinavian quartet return with a disc produced by Pelle Gunnerfeldt (The Hives), their third album overall and first for new label RCA.",65,8.7
10965,La Bella Mafia,Lil' Kim,"March 4, 2003","The third solo album from the former Junior M.A.F.I.A. member utilizes production and vocal contributions from Swizz Beatz, Missy Elliott, Timbaland and Method Man.",65,8.4
10966,Tha Last Meal,Snoop Dogg,"December 19, 2000",,65,7.3
10967,Oxeneers Or The Lion Sleeps When Its Antelope Go,These Arms Are Snakes,"September 21, 2004",The Seattle band (who apparently suffer from either an unusual genetic problem or severe hallucinations) make their full-length debut with this disc.,65,7.8
10968,Appeal To Reason,Rise Against,"October 7, 2008",The fifth full-length album for the Chicago punk rock band was produced by Bill Stevenson and Jason Livermore.,65,8.7
10969,Better Nature,Silversun Pickups,"September 25, 2015",The fourth full-length studio release for the Los Angeles-based alternative rock band was produced by Jacknife Lee.,65,8.2
10970,Love & Devotion,Heterotic,"April 2, 2013",The debut release from Planet Mu founder Mike Paradinas and his wife Lara Rix-Martin features Gravenhurst's Nick Talbot on four tracks.,65,tbd
10971,An End Has A Start,Editors,"July 17, 2007","The Birmingham, England group tries to escape the sophmore slump and comparisons to other bands with their second album.",65,7.9
10972,The Golden Age of Knowhere,Funeral Party,"March 29, 2011",The Los Angeles five-piece--named after a song by the Cure--deliver their debut album of catchy punk rock.,65,8.0
10973,dios (malos),dios (malos),"October 11, 2005",Phil Ek produced the second album for the band (formerly known as Dios) fronted by Joel Morales.,65,8.2
10974,Superhero Brother,G Love & Special Sauce,"June 24, 2008",The third album on Jack Johnson's Brushfire label for the Philadelphia trio.,65,tbd
10975,Two-Way Mirror,Crystal Antlers,"July 19, 2011","The Los Angeles rock quintet releases its second full-length album produced by Mars Volta's Isaiah ""Ikey"" Owens.",65,tbd
10976,The House,Katie Melua,"August 3, 2010",The fourth studio album for the Georgian-born British singer-songwriter was produced by William Orbit.,65,8.4
10977,The Hunting Party,Linkin Park,"June 17, 2014","The sixth studio release for the nu metal group was co-produced by band members Brad Delson and Mike Shinoda with guest appearances from Page Hamilton, Daron Malakian, Tom Morello, and Rakim.",65,8.0
10978,Pagans in Vegas,Metric,"September 18, 2015",The sixth full-length studio release for the Canadian indie rock band is its first in three years with another album scheduled for 2016.,65,6.6
10979,Temple of I & I,Thievery Corporation,"February 10, 2017","The 10th full-length release for the Washington D.C. electronic duo features guest appearances from Lou Lou Ghelichkhani, Shana Halligan, Raquel Jones, Mr. Lif, Elin Melgarejo, Notch, Puma, and Zee.",65,6.3
10980,9 Dead Alive,Rodrigo y Gabriela,"April 29, 2014","Recorded in Mexico by Fermin Vasquez Llera, the first release of new material in five years from Rodrigo Sanchez and Gabriela Quinetro was self-produced.",65,tbd
10981,Feelin' Good,Nightmares on Wax,"September 17, 2013","The latest release for British DJ George Evelyn includes influences from funk, hip hop, jazz, reggae, and soul music.",65,tbd
10982,The  Still Life,Alessi's Ark,"April 30, 2013",The third full-length release for Alessi Laurent-Marke was produced by Andy LeMaster.,65,tbd
10983,Free Dimensional,Diamond Rings,"October 22, 2012",The second electro-pop album from John O'Regan as Diamond Rings was co-produced with Damian Taylor.,65,7.5
10984,Into the Murky Water,The Leisure Society,"May 2, 2011",This is the second album for the British folk rock band twice nominated for the Ivor Novello award for songwriting.,65,tbd
10985,Punctuated Equilibrium,Wino,"January 20, 2009","Scott ""Wino"" Weinrich, former member of such bands as The Obsessed, Saint Vitus, Spirit Caravan, Place of Skulls, and The Hidden Hand, releases his debut solo album.",65,tbd
10986,Life With You,The Proclaimers,"April 1, 2008",The Scottish group returns with its seventh studio album.,65,tbd
10987,Kevin Michael,Kevin Michael,"October 2, 2007","Michael's debut album features Wyclef Jean, Lupe Fiasco, Saigon, and Q Tip.",65,8.5
10988,Improvisations,Charles Hayward,"November 17, 2017",The debut full-length collaboration between The Heat's Charles Hayward and Sonic Youth's Thurston Moore was recorded in an afternoon in London.,65,tbd
10989,Law Of The Playground,The Boy Least Likely To,"April 14, 2009",The second album for the English indie-rock duo.,65,tbd
10990,Klang,The Rakes,"March 23, 2009",The third album for the British indie-rock band was recorded in Berlin.,65,7.8
10991,Court Yard Hounds,Court Yard Hounds,"May 4, 2010",The Dixie Chicks' Emily Robison and Martie Maguire record a side project as a duo.,65,7.5
10992,The Evolution,Ciara,"December 5, 2006","The R&B singer's second album is laced with spoken-word interludes. 50 Cent, Lil Jon, and Chamillionaire lend a hand.",65,7.7
10993,This Is Gap Dream,Gap Dream,"July 22, 2016",The third full-length release for Gabe Fulvimar under the name Gap Dream was recorded over a two year period in California.,65,tbd
10994,Those The Brokes,The Magic Numbers,"July 17, 2007",The poppy British quartet are joined by a nine-piece orchestra on their sophomore effort.,65,6.7
10995,Outrage! Is Now,Death from Above,"September 8, 2017",The third full-length studio release for the Canadian punk rock duo sees Sebastien Grainger and Jesse F. Keeler dropping the 1979 suffix (which was added in 2004 due to a dispute with DFA Records) from the band name.,65,7.6
10996,99 Cents,Chicks On Speed,"November 2, 2004","The all-girl German group's third disc includes collaborations with Peaches and Miss Kittin, plus a remake of the Tom Tom Club's ""Wordy Rappinghood.""",65,tbd
10997,Under My Skin,Avril Lavigne,"May 25, 2004","Ditching the production team (The Matrix) who made her first album a hit, Lavigne turned to fellow Canadians Chantal Kreviazuk and Raine Maida to write and produce this sophomore disc.",65,8.8
10998,Baby Blue,Mary Lou Lord,"March 9, 2004","The Boston-based singer-songwriter's second studio album features songs written by Nick Saloman (aka the Bevis Frond), as well as covers of Pink Floyd's ""Fearless"" and Pete Ham's ""Baby Blue.""",65,tbd
10999,"Volcano, I'm Still Excited!!","Volcano, I'm Still Excited!!","February 17, 2004","This self-titled disc marks the debut for the quirky Austin/Brooklyn indie-rock trio, whose guitar-keyboard-drums sound is sometimes reminiscent of Spoon.",65,tbd
11000,Politics Of The Business,Prince Paul,"May 6, 2003","A veteran of such hip-hop acts as Stetsasonic and Handsome Boy Modeling School and producer of such legendary albums as De La Soul's '3 Feet High and Rising,' Prince Paul returns with his third solo release. Almost a meta-concept album, it is loosely based on Paul's dealings with his (former) record company regarding his previous release, the 1999 concept album 'A Prince Among Thieves.' Among the guests here are Chuck D, Erick Sermon and Ice-T.",65,tbd
11001,You Can Play These Songs With Chords,Death Cab for Cutie,"October 22, 2002","This collection of B-sides, alternate versions and rarities contains 18 tracks, including an early cover of the Smiths' ""This Charming Man.""",65,7.6
11002,The Brave And The Bold,"Tortoise & Bonnie ""Prince"" Billy","January 24, 2006","The first collaboration between singer-songwriter Will Oldham and Chicago instrumental post-rockers Tortoise features 10 covers, including takes on songs by Elton John and Bruce Springsteen.",65,7.5
11003,Lynn Teeter Flower,Maria Taylor,"March 6, 2007",The Azure Ray singer's second solo set was recorded with Spoon's Jim Eno and Now It's Overhead's Andy LeMaster as well as Memphis producer Doug Easley. Conor Oberst guests.,65,7.9
11004,A Forest of Arms,Great Lake Swimmers,"April 21, 2015",The sixth studio release for the Canadian folk rock band led by Tony Dekker was partially recorded in Ontario’s Tyendinaga Caverns and Caves.,65,tbd
11005,In A Cave,Elf Power,"March 25, 2008","This is the 10th album for the Athens, Georgia, band.",65,tbd
11006,Lights,Ellie Goulding,"March 8, 2011",The first full-length album for the British singer-songwriter debuted as number one on the UK album charts. The US version includes three songs not on the UK release.,65,8.4
11007,Losst and Founnd,Harry Nilsson,"November 22, 2019","The posthumous release produced by Mark Hudson features contributions from Jim Keltner, Van Dyke Parks, Jimmy Webb, and Harry’s son, Kiefo Nilsson.",65,tbd
11008,Prisoner of Conscious,Talib Kweli,"May 7, 2013","The fifth solo release for the Brooklyn rapper features guest appearances by such artists as Marsha Ambrosius, Busta Rhymes, Curren$y, Melanie Fiona, Kendrick Lamar, Miguel, Nelly, and Seu Jorge.",65,7.1
11009,Make Another World,Idlewild,"March 6, 2007",The Scottish rockers fronted by Roddy Woomble reunite with producer Dave Eringa for this follow-up to 2005's 'Warnings/Promises.',65,8.2
11010,Oh Inhuman Spectacle,Methyl Ethel,"May 20, 2016",This is the debut full-length release for the Australian psychedelic rock/pop trio led by Jake Webb.,65,tbd
11011,Banks,Paul Banks,"October 22, 2012",The second full-length solo album for the Interpol frontman is his first under his real name (he released two albums under the name Julian Plenti).,65,7.6
11012,Potato Hole,Booker T.,"April 21, 2009",The first solo album for Booker T in 20 years features Neil Young and the Drive-By Truckers.,65,8.7
11013,Vessels,Wolf & Cub,"March 6, 2007","The buzz band from Adelaide, Australia (notable in part due to their twin-drummer lineup) make their full-length debut with this hard-rocking, psychedelic 10-song effort.",65,8.8
11014,Luna,The Aliens,"September 29, 2008",The Scottish band that includes three members of the Beta Band releases its sophomore album.,65,8.0
11015,Hope,The Strumbellas,"April 22, 2016",The third full-length release for the Canadian Juno-award winning band was produced by Dave Schiffman.,65,5.6
11016,Fifty Shades of Grey [Original Motion Picture Soundtrack],Various Artists,"February 10, 2015","The soundtrack to the film adaptation of E.L. James' book includes songs from AWOLNATION, Beyonce, Danny Elfman, Skylar Grey, Ellie Goulding, Annie Lennox, Sia, The Vaults, Jesse Ware, The Weeknd, Laura Welsh, as well as classics from Frank Sinatra and the Rolling Stones.",65,7.9
11017,I Love You Go Easy,Devon Sproule,"May 27, 2011",The latest album for the Canadian folk singer-songwriter was produced by Sandro Perri.,65,tbd
11018,The Straight Hits!,Josh T. Pearson,"April 13, 2018",The first new solo release in seven years for the Austin singer-songwriter was written in three days.,65,tbd
11019,Get Lost,Mark McGuire,"September 26, 2011","The Emeralds guitarist releases his second solo album, which includes a nearly 20-minute long track.",65,tbd
11020,The Evolution of Man,Example,"November 19, 2012",The fourth release for the British singer/rapper was written while he was in Australia.,65,6.8
11021,Replica Sun Machine,The Shortwave Set,"May 5, 2009",The sophomore album for the London-based band was produced by Danger Mouse.,65,tbd
11022,Harakiri,Serj Tankian,"July 10, 2012",The third solo release for the System Of A Down singer was self-produced.,65,7.7
11023,Sex Change,Trans Am,"February 20, 2007","The ironic Washington, D.C. post-rockers return with their first album in three years.",65,8.0
11024,No Man's Land,Frank Turner,"August 16, 2019",The eighth full-length release for the British singer-songwriter features an all-female band for songs about 13 women from history (including his mother) and was produced by Catherine Marks.,65,tbd
11025,Take the Crown,Robbie Williams,"November 5, 2012","Produced by Jacknife Lee, the ninth solo album for the British pop singer is his first since 2009's Reality Killed The Video Star.",65,8.7
11026,Sex with an X,The Vaselines,"September 14, 2010","The indie-pop legends from Glasgow--that had a well-documented influence on Nirvana frontman, Kurt Cobain--keep at it 20 years since their last release with a new album of upbeat alterna-rock.",65,tbd
11027,Contraband,Velvet Revolver,"June 8, 2004",'Contraband' marks the debut LP for what basically amounts to Scott Weiland (Stone Temple Pilots) fronting Guns N Roses (including Duff McKagan and Slash).,65,8.0
11028,A New Morning,Suede,"September 30, 2002","Stephen Street is the producer for the Britpop band's catchy fifth album, their first since singer Brett Anderson's recovery from drug problems. Not surprisingly, it is also happier-sounding than previous Suede efforts.",65,8.3
11029,Jeff Bridges,Jeff Bridges,"August 16, 2011","Jeff Bridges releases the follow-up album to his debut ""Be Here Soon"" nearly a decade later, which is produced by T-Bone Burnett.",65,8.3
11030,5 Seconds of Summer,5 Seconds of Summer,"July 22, 2014","The debut full-length release for the Australian pop-punk quartet includes songs co-written with Yellowcard's Ryan Key, Boys Like Girls' Martin Johnson, All Time Low's Alex Gaskarth, Goldfinger's John Feldmann and Good Charlotte's Benji and Joel Madden.",65,6.1
11031,Meyrin Fields,Broken Bells,"March 29, 2011",The EP from the James Mercer and Brian Burton duo includes tracks not released on their self-titled album.,65,7.7
11032,Megaplex,We Are Scientists,"April 27, 2018",The sixth full-length release for the New York indie pop duo was produced by Max Hart.,65,tbd
11033,The Breeze: An Appreciation of J.J. Cale,Eric Clapton,"July 29, 2014","The tribute to JJ Cale by Eric Clapton features performances by Mark Knopfler, Christine Lakeland, John Mayer, Willie Nelson, Tom Petty, Derek Trucks, and Don White.",65,7.9
11034,Storm & Grace,Lisa Marie Presley,"May 15, 2012",The third studio album for Lisa Marie Presley was produced by T-Bone Burnett and is her first on the Universal Republic label.,65,tbd
11035,"Shiny and Oh So Bright, Vol. 1: No Past. No Future. No Sun",Smashing Pumpkins,"November 16, 2018","Produced by Rick Rubin, the 10th full-length release for the alternative rock band sees the return of original members Jimmy Chamberlin and James Iha, joining remaining members Billy Corgan and Jeff Schroeder.",65,6.5
11036,Mission Bell,Amos Lee,"January 25, 2011","The fourth album for the singer-songwriter features appearances by Priscilla Ahn, Pieta Brown, James Gadson, Willie Nelson, Lucinda Williams, Iron & Wine's Sam Beam, and Calexico.",65,8.1
11037,Is That You in the Blue?,Dex Romweber Duo,"July 26, 2011","With Dexter on guitar and his sister Sara on drums, the band releases its sophomore album of blues, jazz, psychobilly ballads, pop songs, and more.",65,tbd
11038,Detroit House Guests,Adult.,"March 17, 2017","The seventh full-length release for the husband-and-wife duo of Adam Lee Miller and Nicola Kuperus features guest appearances from Robert Aiki Aubrey Lowe, Dorit Chrysler, Light Asylum's Shannon Funchess, Swans' Michael Gira, Nitzer Ebb's Douglas J. McCarthy, and Lun*na Menoh.",65,tbd
11039,Wildlife,Headlights,"October 6, 2009",This is the third full-length studio album for the rock band from Illinois.,65,tbd
11040,The Destroyed Room: B-Sides And Rarities,Sonic Youth,"December 12, 2006","Not the most accessible (sound-wise) of Sonic Youth's releases, this 11-track disc compiles some of the least accessible (availability-wise) of the band's obscure recordings, which have been remastered.",65,6.5
11041,KEYS,Alicia Keys,"December 10, 2021","Produced with Mike WiLL Made-It, the two-disc release from R&B artist Alicia Keys features piano-based originals and more upbeat versions with drums.",65,7.8
11042,"Anyway You Love, We Know How You Feel",The Chris Robinson Brotherhood,"July 29, 2016",The fourth full-length studio release for the blues rock band was self-produced and is its first with new drummer Tony Leone.,65,tbd
